Tanggal,Tahun,Bulan,Hari,Kategori,Nama_Produk,Lokasi_Toko,Metode_Bayar,Harga_Satuan,Qty,Diskon_IDR,Total_Penjualan
2022-05-01,2022,5,Sunday,Film,Instax Mini Film (20s),Tokopedia Official,Kartu Kredit,185000,1,9250,175750
2022-05-01,2022,5,Sunday,Film,Instax Mini Film (20s),Tokopedia Official,Kartu Kredit,185000,1,0,185000
2022-05-01,2022,5,Sunday,Film,Instax Mini Film (20s),Shopee Mall,E-Wallet (Gopay/OVO),185000,2,0,370000
2022-05-01,2022,5,Sunday,Kamera,Instax Mini 11,Shopee Mall,Paylater,1100000,1,0,1100000
2022-05-01,2022,5,Sunday,Film,Instax Mini Film (20s),Shopee Mall,E-Wallet (Gopay/OVO),185000,2,0,370000
2022-05-01,2022,5,Sunday,Film,Instax Mini Film (10s),Tokopedia Official,Kartu Kredit,95000,1,4750,90250
2022-05-01,2022,5,Sunday,Aksesoris,Instax Photo Album,Tokopedia Official,Paylater,75000,1,0,75000
2022-05-01,2022,5,Sunday,Film,Instax Mini Film (10s),Shopee Mall,Kartu Kredit,95000,1,0,95000
2022-05-02,2022,5,Monday,Film,Instax Mini Film (10s),Shopee Mall,E-Wallet (Gopay/OVO),95000,1,0,95000
2022-05-02,2022,5,Monday,Aksesoris,Camera Case / Bag,Jakarta Official Store,Paylater,150000,1,7500,142500
2022-05-02,2022,5,Monday,Film,Instax Mini Film (20s),Jakarta Official Store,Transfer Bank,185000,1,0,185000
2022-05-02,2022,5,Monday,Film,Instax Square Film (10s),Tokopedia Official,Transfer Bank,150000,1,0,150000
2022-05-02,2022,5,Monday,Aksesoris,Camera Case / Bag,Tokopedia Official,Kartu Kredit,150000,2,0,300000
2022-05-02,2022,5,Monday,Aksesoris,Instax Photo Album,Website,Paylater,75000,3,0,225000
2022-05-03,2022,5,Tuesday,Aksesoris,Instax Photo Album,Website,E-Wallet (Gopay/OVO),75000,2,0,150000
2022-05-03,2022,5,Tuesday,Film,Instax Mini Film (10s),Shopee Mall,Transfer Bank,95000,1,0,95000
2022-05-03,2022,5,Tuesday,Aksesoris,Camera Case / Bag,Shopee Mall,Transfer Bank,150000,3,0,450000
2022-05-04,2022,5,Wednesday,Film,Instax Mini Film (20s),Shopee Mall,Transfer Bank,185000,3,0,555000
2022-05-04,2022,5,Wednesday,Film,Instax Mini Film (10s),Surabaya Branch,E-Wallet (Gopay/OVO),95000,2,0,190000
2022-05-04,2022,5,Wednesday,Aksesoris,Camera Case / Bag,Jakarta Official Store,E-Wallet (Gopay/OVO),150000,1,0,150000
2022-05-04,2022,5,Wednesday,Film,Instax Mini Film (10s),Tokopedia Official,Kartu Kredit,95000,1,0,95000
2022-05-04,2022,5,Wednesday,Film,Instax Mini Film (10s),Shopee Mall,Transfer Bank,95000,1,0,95000
2022-05-04,2022,5,Wednesday,Film,Instax Square Film (10s),Tokopedia Official,Paylater,150000,1,0,150000
2022-05-05,2022,5,Thursday,Film,Instax Square Film (10s),Surabaya Branch,Paylater,150000,2,15000,285000
2022-05-05,2022,5,Thursday,Film,Instax Square Film (10s),Website,Transfer Bank,150000,2,30000,270000
2022-05-05,2022,5,Thursday,Aksesoris,Camera Case / Bag,Tokopedia Official,Kartu Kredit,150000,1,30000,120000
2022-05-05,2022,5,Thursday,Kamera,Instax Mini Evo,Surabaya Branch,Transfer Bank,2900000,1,290000,2610000
2022-05-05,2022,5,Thursday,Film,Instax Square Film (10s),Tokopedia Official,E-Wallet (Gopay/OVO),150000,5,37500,712500
2022-05-06,2022,5,Friday,Kamera,Instax Wide 300,Website,Kartu Kredit,1800000,1,0,1800000
2022-05-06,2022,5,Friday,Aksesoris,Instax Photo Album,Tokopedia Official,Kartu Kredit,75000,4,0,300000
2022-05-06,2022,5,Friday,Aksesoris,Acrylic Frame,Jakarta Official Store,Paylater,50000,4,0,200000
2022-05-06,2022,5,Friday,Aksesoris,Instax Photo Album,Shopee Mall,Paylater,75000,1,0,75000
2022-05-06,2022,5,Friday,Film,Instax Mini Film (10s),Website,Transfer Bank,95000,5,23750,451250
2022-05-06,2022,5,Friday,Film,Instax Mini Film (20s),Surabaya Branch,E-Wallet (Gopay/OVO),185000,1,9250,175750
2022-05-06,2022,5,Friday,Film,Instax Square Film (10s),Jakarta Official Store,E-Wallet (Gopay/OVO),150000,1,7500,142500
2022-05-06,2022,5,Friday,Film,Instax Mini Film (20s),Tokopedia Official,Transfer Bank,185000,1,0,185000
2022-05-06,2022,5,Friday,Kamera,Instax Mini 11,Shopee Mall,Kartu Kredit,1100000,1,0,1100000
2022-05-06,2022,5,Friday,Film,Instax Mini Film (20s),Tokopedia Official,Paylater,185000,1,9250,175750
2022-05-07,2022,5,Saturday,Film,Instax Mini Film (20s),Surabaya Branch,E-Wallet (Gopay/OVO),185000,1,0,185000
2022-05-07,2022,5,Saturday,Film,Instax Mini Film (20s),Jakarta Official Store,Paylater,185000,2,0,370000
2022-05-07,2022,5,Saturday,Film,Instax Square Film (10s),Surabaya Branch,E-Wallet (Gopay/OVO),150000,1,0,150000
2022-05-07,2022,5,Saturday,Film,Instax Mini Film (10s),Jakarta Official Store,Transfer Bank,95000,4,0,380000
2022-05-07,2022,5,Saturday,Film,Instax Mini Film (10s),Surabaya Branch,E-Wallet (Gopay/OVO),95000,1,0,95000
2022-05-07,2022,5,Saturday,Aksesoris,Acrylic Frame,Jakarta Official Store,Paylater,50000,1,0,50000
2022-05-07,2022,5,Saturday,Aksesoris,Instax Photo Album,Jakarta Official Store,Transfer Bank,75000,4,0,300000
2022-05-07,2022,5,Saturday,Kamera,Instax Square SQ1,Tokopedia Official,Kartu Kredit,1900000,1,0,1900000
2022-05-07,2022,5,Saturday,Film,Instax Mini Film (10s),Shopee Mall,Paylater,95000,4,0,380000
2022-05-07,2022,5,Saturday,Aksesoris,Acrylic Frame,Jakarta Official Store,Paylater,50000,2,0,100000
2022-05-07,2022,5,Saturday,Kamera,Instax Square SQ1,Website,E-Wallet (Gopay/OVO),1900000,1,0,1900000
2022-05-07,2022,5,Saturday,Aksesoris,Acrylic Frame,Shopee Mall,Paylater,50000,2,5000,95000
2022-05-08,2022,5,Sunday,Film,Instax Mini Film (20s),Tokopedia Official,Transfer Bank,185000,3,0,555000
2022-05-08,2022,5,Sunday,Film,Instax Mini Film (20s),Surabaya Branch,Kartu Kredit,185000,2,0,370000
2022-05-08,2022,5,Sunday,Kamera,Instax Wide 300,Shopee Mall,Paylater,1800000,1,0,1800000
